study_accession,run_accession,read_count,library_strategy,library_source,library_selection,library_layout,instrument_platform,instrument_model
PRJNA771914,SRR16498921,1611860,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,NextSeq 500
PRJNA771914,SRR16498929,813986,WGS,GENOMIC,RANDOM,SINGLE,ILLUMINA,NextSeq 500
PRJEB37681,ERR4010407,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010409,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010411,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010413,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010417,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010418,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010420,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010422,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010435,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010439,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500
PRJEB37681,ERR4010446,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010448,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010450,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010453,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010461,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010464,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010467,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010468,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010471,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010473,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010477,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010478,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010480,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010484,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010487,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010488,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010493,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010495,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010497,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010498,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010503,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010505,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010506,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010512,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010516,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010517,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010518,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010519,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010522,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010525,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010527,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010528,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010532,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010534,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010535,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010538,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB37681,ERR4010539,100000,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000
PRJEB76829,ERR16039598,2410115,WGS,METAGENOMIC,RANDOM,SINGLE,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108338,1689612,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
PRJEB80740,ERR15108339,1616446,WGS,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500
